traits	lat	long
hDenV2/Colombia/VAC-LSPVAC-2404285/2024/EPI_ISL_19216419/2024-03-07	4.0856667	-76.1972779
hDenV2/Colombia/VAC-LSPVAC-2404315/2024/EPI_ISL_19216420/2024-03-07	3.5834664	-76.4952223
hDenV2/Colombia/VAC-LSPVAC-2404473/2024/EPI_ISL_19216421/2024-03-19	3.9000578	-76.302013
hDenV2/Colombia/VAC-LSPVAC-2404621/2024/EPI_ISL_19216423/2024-03-03	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2404626/2024/EPI_ISL_19216424/2024-03-04	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2404756/2024/EPI_ISL_19216425/2024-03-25	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2404782/2024/EPI_ISL_19216426/2024-03-09	4.0856667	-76.1972779
hDenV2/Colombia/VAC-LSPVAC-2404785/2024/EPI_ISL_19216427/2024-03-28	4.0856667	-76.1972779
hDenV2/Colombia/VAC-LSPVAC-2405027/2024/EPI_ISL_19216428/2024-03-24	3.9000578	-76.302013
hDenV2/Colombia/VAC-LSPVAC-2405047/2024/EPI_ISL_19216429/2024-03-23	3.6829185	-76.3071487
hDenV2/Colombia/VAC-LSPVAC-2405056/2024/EPI_ISL_19216430/2024-03-25	3.6829185	-76.3071487
hDenV2/Colombia/VAC-LSPVAC-2405317/2024/EPI_ISL_19216432/2024-03-21	4.7621884	-76.2207611
hDenV2/Colombia/VAC-LSPVAC-2405372/2024/EPI_ISL_19216433/2024-04-01	3.5308373	-76.2988048
hDenV2/Colombia/VAC-LSPVAC-2405472/2024/EPI_ISL_19216434/2024-04-03	3.7630235	-76.3344854
hDenV2/Colombia/VAC-LSPVAC-2405501/2024/EPI_ISL_19216435/2024-03-13	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405502/2024/EPI_ISL_19216436/2024-03-16	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405522/2024/EPI_ISL_19216438/2024-04-11	3.5834664	-76.4952223
hDenV2/Colombia/VAC-LSPVAC-2405530/2024/EPI_ISL_19216439/2024-04-03	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405555/2024/EPI_ISL_19216440/2024-04-11	3.5308373	-76.2988048
hDenV2/Colombia/VAC-LSPVAC-2405563/2024/EPI_ISL_19216442/2024-04-10	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405579/2024/EPI_ISL_19216444/2024-04-12	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405594/2024/EPI_ISL_19216445/2024-03-25	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405638/2024/EPI_ISL_19216446/2024-04-12	3.4519238	-76.5328732
hDenV2/Colombia/VAC-LSPVAC-2405773/2024/EPI_ISL_19216447/2024-04-22	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02565/2024/EPI_ISL_19257592/2024-02-24	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02538/2024/EPI_ISL_19257595/2024-02-09	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02588/2024/EPI_ISL_19257596/2024-03-06	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02372/2023/EPI_ISL_19257598/2023-09-08	3.5308373	-76.2988048
hDenV2/Colombia/un-Yale-DN02543/2024/EPI_ISL_19257601/2024-02-09	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02547/2024/EPI_ISL_19257604/2024-02-15	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02370/2023/EPI_ISL_19257605/2023-09-03	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02485/2024/EPI_ISL_19257606/2024-01-09	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02542/2024/EPI_ISL_19257607/2024-02-12	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02567/2024/EPI_ISL_19257609/2024-02-25	3.7237049	-76.2687988
hDenV2/Colombia/un-Yale-DN02428/2023/EPI_ISL_19257610/2023-11-12	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02574/2024/EPI_ISL_19257612/2024-03-01	4.0856667	-76.1972779
hDenV2/Colombia/un-Yale-DN02572/2024/EPI_ISL_19257620/2024-03-01	3.4519238	-76.5328732
hDenV2/Colombia/un-Yale-DN02434/2023/EPI_ISL_19257621/2023-11-20	3.2618357	-76.5407975
hDenV2/Colombia/un-Yale-DN02432/2023/EPI_ISL_19257623/2023-11-17	3.5308373	-76.2988048
hDenV2/Colombia/un-Yale-DN02473/2023/EPI_ISL_19257627/2023-12-28	7.79845155	-76.74603894250129
